method,MAP,Recall,P@10,nDCG,time_seconds,n_queries
TF-IDF,0.6722947301002088,0.8191776348405436,0.1125,0.7224469598355434,149.16,1000
BM25,0.7006533435270822,0.8500189895950058,0.1173,0.7510443648936196,848.32,1000
Embedding,0.8292416939998729,0.9352255976409932,0.1355,0.8661621011181797,73.87,1000
Hybrid-Parallel,0.6463212305502488,0.9290134562280172,0.1339,0.7296617662261119,1145.5,1000
Hybrid-Serial,0.8194588112029478,0.9198493154322033,0.13290000000000005,0.8558981871451322,430.81,1000
